Date,Value,Anomaly
189501,29.5,-2.4
189601,29.0,-2.9
189701,29.9,-2.0
189801,34.4,2.5
189901,30.4,-1.5
190001,31.7,-0.2
190101,32.1,0.2
190201,30.0,-1.9
190301,30.0,-1.9
190401,24.2,-7.7
190501,27.6,-4.3
190601,36.7,4.8
190701,33.1,1.2
190801,31.3,-0.6
190901,33.3,1.4
191001,30.4,-1.5
191101,35.1,3.2
191201,23.4,-8.5
191301,40.5,8.6
191401,31.2,-0.7
191501,34.2,2.3
191601,35.7,3.8
191701,32.6,0.7
191801,21.4,-10.5
191901,35.3,3.4
192001,23.8,-8.1
192101,33.7,1.8
192201,28.5,-3.4
192301,29.9,-2.0
192401,32.6,0.7
192501,28.4,-3.5
192601,31.9,0.0
192701,30.9,-1.0
192801,33.9,2.0
192901,31.9,0.0
193001,33.3,1.4
193101,32.7,0.8
193201,43.1,11.2
193301,40.3,8.4
193401,34.4,2.5
193501,28.8,-3.1
193601,29.3,-2.6
193701,40.2,8.3
193801,32.1,0.2
193901,32.1,0.2
194001,24.9,-7.0
194101,29.4,-2.5
194201,30.7,-1.2
194301,30.7,-1.2
194401,33.9,2.0
194501,25.2,-6.7
194601,34.1,2.2
194701,37.1,5.2
194801,25.1,-6.8
194901,38.3,6.4
195001,41.4,9.5
195101,36.1,4.2
195201,35.9,4.0
195301,37.4,5.5
195401,30.5,-1.4
195501,30.6,-1.3
195601,31.7,-0.2
195701,28.3,-3.6
195801,31.6,-0.3
195901,31.0,-0.9
196001,33.6,1.7
196101,27.1,-4.8
196201,32.0,0.1
196301,29.5,-2.4
196401,35.0,3.1
196501,29.0,-2.9
196601,31.5,-0.4
196701,36.6,4.7
196801,26.0,-5.9
196901,31.1,-0.8
197001,24.4,-7.5
197101,26.2,-5.7
197201,34.3,2.4
197301,35.2,3.3
197401,35.2,3.3
197501,37.3,5.4
197601,27.4,-4.5
197701,21.8,-10.1
197801,27.9,-4.0
197901,31.5,-0.4
198001,32.7,0.8
198101,25.2,-6.7
198201,25.1,-6.8
198301,33.5,1.6
198401,28.9,-3.0
198501,27.8,-4.1
198601,33.5,1.6
198701,31.7,-0.2
198801,28.9,-3.0
198901,36.8,4.9
199001,40.7,8.8
199101,34.3,2.4
199201,35.1,3.2
199301,35.7,3.8
199401,24.9,-7.0
199501,37.6,5.7
199601,30.9,-1.0
199701,32.5,0.6
199801,40.4,8.5
199901,34.3,2.4
200001,31.7,-0.2
200101,34.0,2.1
200201,40.3,8.4
200301,27.9,-4.0
200401,25.1,-6.8
200501,31.7,-0.2
200601,41.3,9.4
200701,37.9,6.0
200801,36.9,5.0
200901,28.3,-3.6
201001,32.9,1.0
201101,30.1,-1.8
201201,37.7,5.8
201301,35.5,3.6
201401,28.7,-3.2
201501,30.0,-1.9
201601,34.5,2.6
201701,38.1,6.2
201801,31.8,-0.1
